trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason
97,688153,12915470209716796239348697961988858652679798337356043486638774322267679573793,Yes,2025-11-24,2025-12-31,0.93,0.9995,1.0,0.0695,7.473118279569893,37,Market resolved
98,695481,40351237929901120824369693122811698124757956759014416835019888698586779189241,Yes,2025-11-26,2025-12-31,0.985,0.998,1.0,0.013000000000000012,1.319796954314722,35,Market resolved
99,677246,16277505026416937292384359784012037734190219871908868423920680116493885063532,Yes,2025-11-30,2025-12-31,0.915,0.9995,1.0,0.08450000000000002,9.23497267759563,31,Market resolved
100,670099,16054007385547251679708249207359543687597026827756204913702303659266506654893,Yes,2025-12-01,2025-12-31,0.9995,0.9995,1.0,0.0,0.0,30,Market resolved
101,705930,25650506687315190520135685245347224737066221596348301552607162385614301014560,Yes,2025-12-02,2025-12-31,0.925,0.9995,1.0,0.07450000000000001,8.054054054054054,29,Market resolved
102,822859,48677102165243822120253225309851932076169405842681165795043608739892786469662,Yes,2025-12-04,2025-12-31,0.91,0.9995,1.0,0.08950000000000002,9.835164835164838,27,Market resolved
103,835510,70548453604716948371301078720487933873863950394286889891488267274497796437735,Yes,2025-12-05,2025-12-31,0.975,0.9995,1.0,0.024500000000000077,2.5128205128205208,26,Market resolved
104,788941,90479453306353786127244674900462374878580956292841326699568388109168647114523,Yes,2025-12-06,2025-12-31,0.945,0.9995,1.0,0.054500000000000104,5.767195767195778,25,Market resolved
105,788942,109713573288885630397631068394663119448748019283377796521379041854798635400324,Yes,2025-12-06,2025-12-31,0.96,0.9995,1.0,0.03950000000000009,4.114583333333343,25,Market resolved
106,675479,85211222748811362951206200497841324526065306994510197171249406185628384654438,Yes,2025-12-07,2025-12-31,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,24,Market resolved
107,677322,25791880285244370936551881236264349089552824405850163429784552532774967993860,Yes,2025-12-07,2025-12-31,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,24,Market resolved
108,690180,47735847605585177371939392796033193492119105107557406548501185957538101667343,Yes,2025-12-07,2025-12-31,0.935,0.9995,1.0,0.0645,6.898395721925134,24,Market resolved
109,896328,87054597424025058750673921552551377834563594788291619085236147383172244584881,Yes,2025-12-08,2025-12-31,0.925,0.9995,1.0,0.07450000000000001,8.054054054054054,23,Market resolved
110,679685,77715695049843221417612309004029575885838560263501898762863824108310440779503,Yes,2025-12-11,2025-12-31,0.9655,0.9995,1.0,0.03400000000000003,3.5214914552045604,20,Market resolved
111,687789,58295163860738637676091975663556957722304801619257115481290112733823007852856,Yes,2025-12-11,2025-12-31,0.91,0.9995,1.0,0.08950000000000002,9.835164835164838,20,Market resolved
112,903380,58968250032696989273652414493122011434033610823704664761984076924622933114928,Yes,2025-12-11,2025-12-31,0.925,0.9995,1.0,0.07450000000000001,8.054054054054054,20,Market resolved
113,693036,41973393199203800740555877330647494942842280668622204022082216854069913525453,Yes,2025-12-15,2025-12-31,0.935,0.9995,1.0,0.0645,6.898395721925134,16,Market resolved
114,840926,32011232119989942559943708250801343031160676923745293796301292694115886733618,Yes,2025-12-15,2025-12-31,0.9995,0.9995,1.0,0.0,0.0,16,Market resolved
115,929397,41110090397877679281619121556977384968254401574042660732102185730813734546511,Yes,2025-12-15,2025-12-31,0.997,0.9995,1.0,0.0025000000000000577,0.25075225677031676,16,Market resolved
116,688159,92917823203455852310773197458251189335102095196490614589226448786420653134633,Yes,2025-12-16,2025-12-31,0.9995,0.9995,1.0,0.0,0.0,15,Market resolved
117,941427,76229890009156616912387093571618024832234813233494770806678803155130112249926,Yes,2025-12-16,2025-12-31,0.92,0.9995,1.0,0.07950000000000002,8.641304347826088,15,Market resolved
118,705811,33032165066164905815317026064929763584795664080106938224243246753898506930770,Yes,2025-12-17,2025-12-31,0.9755,0.9995,1.0,0.02400000000000002,2.46027678113788,14,Market resolved
119,949268,34953232384858758079573118614569185595839939553965565481743375448305502078838,Yes,2025-12-17,2025-12-31,0.996,0.9995,1.0,0.0035000000000000586,0.3514056224899657,14,Market resolved
120,949269,51262752390629865147259795192881810926881189714010957883918336527689062893233,Yes,2025-12-17,2025-12-31,0.9995,0.9995,1.0,0.0,0.0,14,Market resolved
121,964726,67674708427199070284980441087854102611882858895791248570085960611083129072583,Yes,2025-12-18,2025-12-31,0.9945,0.9995,1.0,0.0050000000000000044,0.502765208647562,13,Market resolved
122,964727,90235660186511042237593634947948676880871817132780609535291570723210917271774,Yes,2025-12-18,2025-12-31,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,13,Market resolved
123,705362,68590572505182086598329060785083977024501498935535123769434729999433082877008,Yes,2025-12-19,2025-12-31,0.925,0.9995,1.0,0.07450000000000001,8.054054054054054,12,Market resolved
124,995752,75039711601908123924058908609381049429315633901353782790150642540214508808007,Yes,2025-12-22,2025-12-31,0.9945,0.9995,1.0,0.0050000000000000044,0.502765208647562,9,Market resolved
125,1006891,18267125377592675868187755019592054598633726179828852258695823484599036146076,Yes,2025-12-23,2025-12-31,0.94,0.315,1.0,-0.625,-66.48936170212765,8,Market resolved
126,915037,33866371096036917029711590942164038905390903759150050279126900341320002722923,Yes,2025-12-23,2025-12-31,0.994,0.9995,1.0,0.00550000000000006,0.5533199195171087,8,Market resolved
127,939941,29910089364900900292358621676720017465080300710359939533173470109411823113919,Yes,2025-12-23,2025-12-31,0.995,0.9995,1.0,0.0045000000000000595,0.45226130653266927,8,Market resolved
128,677247,115739999311729663080360797518482845832702335044306358062473412386763759586805,Yes,2025-12-24,2025-12-31,0.9185,0.9995,1.0,0.08100000000000007,8.818726183995652,7,Market resolved
129,909320,77658947952166114612135535937038349979426120169230788370168157461487853122984,Yes,2025-12-24,2025-12-31,0.94,0.9995,1.0,0.05950000000000011,6.329787234042565,7,Market resolved
130,956633,38182869194157048767897464063830265597805252985389095503149467060387343463969,Yes,2025-12-25,2025-12-31,0.91,0.9995,1.0,0.08950000000000002,9.835164835164838,6,Market resolved
131,701041,50161564593820976965151793756719520393014318964839902082651564167544475366371,Yes,2025-12-26,2025-12-31,0.9505,0.9995,1.0,0.049000000000000044,5.155181483429779,5,Market resolved
132,1032570,102373309325450536661122005550179500484347487588354331502612787622119788786226,Yes,2025-12-27,2025-12-31,0.93,0.094,1.0,-0.8360000000000001,-89.89247311827957,4,Market resolved
133,705371,22686849349302545918242265066656002190277614153869079561104127654203272457232,Yes,2025-12-28,2025-12-31,0.97,0.9995,1.0,0.02950000000000008,3.0412371134020706,3,Market resolved
