trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason
26,1175524,68970865898804832721067729954943462628880475857266431173485044607503548165256,No,2026-01-13,2026-01-15,0.765,0.9995,-11.0,-2.5794999999999995,0.0,2,Market resolved
27,1175504,25079398794887361514757784810470550115797860603410898547838412751055328516495,No,2026-01-14,2026-01-15,0.925,0.9995,-8.0,-0.5960000000000001,0.0,1,Market resolved
28,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-14,2026-01-15,0.85,0.845,-24.0,0.11999999999999744,0.0,1,Market resolved
29,1029717,65158038785421140346451962367504824001891555075947829456861148824980022320678,No,2025-12-29,2026-01-16,0.375,0.0005,49.0,-18.3505,-99.86666666666667,18,Market resolved
30,1175504,25079398794887361514757784810470550115797860603410898547838412751055328516495,No,2026-01-15,2026-01-16,0.9995,0.9995,-8.0,0.0,0.0,1,Market resolved
31,1175524,68970865898804832721067729954943462628880475857266431173485044607503548165256,No,2026-01-15,2026-01-16,0.92,0.9995,-9.0,-0.7154999999999987,0.0,1,Market resolved
32,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-15,2026-01-16,0.855,0.845,-24.0,0.23999999999999844,0.0,1,Market resolved
33,1175547,114747862862918199038621394572719719806458715733984074765186384827907587756026,No,2026-01-13,2026-01-17,0.565,0.9995,12.0,5.214,76.90265486725664,4,Market resolved
34,1090801,70728411992324803830775436571389911489889748698755933314475682086528426339560,No,2026-01-14,2026-01-17,0.855,0.996,-24.0,-3.3840000000000003,0.0,3,Market resolved
35,1175524,68970865898804832721067729954943462628880475857266431173485044607503548165256,No,2026-01-16,2026-01-17,0.9995,0.9995,-9.0,0.0,0.0,1,Market resolved
36,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-16,2026-01-17,0.845,0.855,-24.0,-0.23999999999999844,0.0,1,Market resolved
37,1175548,90883464094985571010902349297672923777772590459152587087503246655308316600180,No,2026-01-13,2026-01-18,0.445,0.9995,11.0,6.0995,124.60674157303369,5,Market resolved
38,1175547,114747862862918199038621394572719719806458715733984074765186384827907587756026,No,2026-01-17,2026-01-18,0.985,0.9995,-9.0,-0.13049999999999962,0.0,1,Market resolved
39,1090801,70728411992324803830775436571389911489889748698755933314475682086528426339560,No,2026-01-17,2026-01-18,0.941,0.9995,-22.0,-1.2870000000000026,0.0,1,Market resolved
40,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-17,2026-01-18,0.845,0.86,-24.0,-0.35999999999999943,0.0,1,Market resolved
41,1175547,114747862862918199038621394572719719806458715733984074765186384827907587756026,No,2026-01-18,2026-01-19,0.9995,0.9995,-10.0,0.0,0.0,1,Market resolved
42,1175548,90883464094985571010902349297672923777772590459152587087503246655308316600180,No,2026-01-18,2026-01-19,0.991,0.9995,-7.0,-0.059499999999999886,0.0,1,Market resolved
43,1090801,70728411992324803830775436571389911489889748698755933314475682086528426339560,No,2026-01-18,2026-01-19,0.995,0.9995,-29.0,-0.1305000000000014,0.0,1,Market resolved
44,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-18,2026-01-19,0.855,0.875,-24.0,-0.4800000000000004,0.0,1,Market resolved
45,1175548,90883464094985571010902349297672923777772590459152587087503246655308316600180,No,2026-01-19,2026-01-20,0.9995,0.9995,-8.0,0.0,0.0,1,Market resolved
46,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-19,2026-01-20,0.86,0.885,-24.0,-0.6000000000000014,0.0,1,Market resolved
47,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-20,2026-01-21,0.875,0.91,-23.0,-0.8049999999999997,0.0,1,Market resolved
48,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-21,2026-01-22,0.885,0.9,-23.0,-0.34499999999999886,0.0,1,Market resolved
49,1199463,75634531323620368261137744912110524040088627210061012336286931131040513076299,No,2026-01-19,2026-01-23,0.8,0.9995,-16.0,-3.192,0.0,4,Market resolved
50,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-22,2026-01-23,0.91,0.905,-23.0,0.11499999999999844,0.0,1,Market resolved
51,1169251,21964851705779216597578327789170506352651973926613887180162847246646889659256,No,2026-01-14,2026-01-24,0.735,0.0005,-28.0,20.566,0.0,10,Market resolved
52,1199463,75634531323620368261137744912110524040088627210061012336286931131040513076299,No,2026-01-23,2026-01-24,0.9945,0.9995,-14.0,-0.07000000000000028,0.0,1,Market resolved
53,1006892,58719878550625298503107256203979685198416062590647075610592705883102153544406,No,2026-01-23,2026-01-24,0.455,0.43,51.0,-1.2750000000000021,-5.494505494505503,1,Market resolved
54,1006891,5981467167337369508445338583735097462549984441837264656582884574156154873607,No,2026-01-23,2026-01-24,0.9665,0.977,-24.0,-0.2519999999999989,0.0,1,Market resolved
55,1249612,114888090295963914109351233673050855877211364813285873821519059747395932553280,No,2026-01-23,2026-01-24,0.815,0.785,-28.0,0.8399999999999999,0.0,1,Market resolved
56,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-23,2026-01-24,0.9,0.9,-23.0,0.0,0.0,1,Market resolved
